Year;Upper;Lower;Mean
1990;1.5;0;0
1991;0.75;0;0
1992;0.75;0;0
1993;1.285714286;0.857142857;1
1994;1.2;0.6;0.75
1995;0.5;0;0
1996;0.857142857;0.428571429;0.5
1997;0.857142857;0.428571429;0.5
1998;0.6;0;0
1999;1;0.5;0.6
2000;0.8;0.2;0.25
2001;2;1.4;1.75
2002;2;1.4;1.75
2003;1;0.25;0.333333333
2004;1.166666667;0.666666667;0.8
2005;0.5;0;0
2006;0.75;0;0
2007;1.153846154;0.923076923;1
2008;1.166666667;0.916666667;1
2009;0.75;0.375;0.428571429
2010;1.555555556;1.222222222;1.375
2011;2.8;2.5;2.777777778
2012;0.833333333;0.583333333;0.636363636
2013;0.333333333;0;0
2014;0.272727273;0;0
2015;0.333333333;0;0
2016;2;1.7;1.888888889
2017;0.727272727;0.454545455;0.5
2018;0.272727273;0;0
2019;0.272727273;0;0
2020;3;0;NA
2021;1.3;1;1.111111111
2022;1.25;1;1.090909091
