Year	Day	Time	Trapping_Period	Site_Name	Trap_ID	Tag_Number	Species	Sex	Age	Mass	Zygomatic_Width	Reproductive_Condition	Released	Notes
2004	191	08:00	PP2PS1	LG1-wetland	A02	brown_05	Brown Lemming	M	A	57.8	NA	UNK	No	
2004	191	08:00	PP2PS1	LG1-wetland	G07	454C53107C	Brown Lemming	M	A	39	NA	UNK	Yes	
2004	191	08:00	PP2PS1	LG1-wetland	I04	445D5A2B31	Brown Lemming	F	A	40	NA	LA	Yes	
2004	191	08:00	PP2PS1	LG1-wetland	E08	brown_06	Brown Lemming	M	A	41	NA	UNK	No	
2004	191	08:00	PP2PS1	LG1-wetland	B02	44611C5E05	Brown Lemming	M	A	35	NA	UNK	Yes	
2004	191	20:00	PP2PS2	LG1-wetland	C01	445C484910_1	Brown Lemming	F	A	38	NA	LA	Yes	
2004	191	20:00	PP2PS2	LG1-wetland	G07	454C53107C	Brown Lemming	M	A	33	NA	UNK	Yes	
2004	191	20:00	PP2PS2	LG1-wetland	C02	446217172E_1	Brown Lemming	F	A	44	NA	UNK	Yes	
2004	192	08:00	PP2PS3	LG1-wetland	C01	445C484910_1	Brown Lemming	F	A	41	NA	UNK	Yes	
2004	192	08:00	PP2PS3	LG1-wetland	G08	445C35705D	Brown Lemming	U	A	43	NA	UNK	Yes	
2004	192	08:00	PP2PS3	LG1-wetland	H05	4520103306	Brown Lemming	M	J	25	NA	UNK	Yes	
2004	192	08:00	PP2PS3	LG1-wetland	A05	453536796F_1	Brown Lemming	M	A	42	NA	UNK	Yes	
2004	192	08:00	PP2PS3	LG1-wetland	B01	44611C5E05	Brown Lemming	M	A	38	NA	UNK	Yes	
2004	192	08:00	PP2PS3	LG1-wetland	D05	445D7C6372_1	Brown Lemming	M	A	38	NA	UNK	Yes	
2004	192	08:00	PP2PS3	LG1-wetland	B10	445D435665	Brown Lemming	M	A	40	NA	UNK	Yes	
2004	192	08:00	PP2PS3	LG1-wetland	D03	445C434E39	Brown Lemming	M	A	85	NA	UNK	Yes	
2004	192	08:00	PP2PS3	LG1-wetland	B06	445C31567C_1	Brown Lemming	M	A	56	NA	UNK	Yes	
2004	192	08:00	PP2PS3	LG1-wetland	G07	445C2E40668_1	Brown Lemming	M	A	47	NA	UNK	Yes	
2004	192	08:00	PP2PS3	LG1-wetland	I04	445D5A2B31	Brown Lemming	F	A	38	NA	UNK	Yes	
2004	192	20:00	PP2PS4	LG1-wetland	D01	446217172E_1	Brown Lemming	F	A	49	NA	UNK	Yes	
2004	192	20:00	PP2PS4	LG1-wetland	C01	445C484910_1	Brown Lemming	F	A	40	NA	UNK	Yes	
2004	192	20:00	PP2PS4	LG1-wetland	C07	445C31567C_1	Brown Lemming	M	A	56	NA	UNK	Yes	
2004	192	20:00	PP2PS4	LG1-wetland	G08	445C35705D	Brown Lemming	U	A	45	NA	UNK	Yes	
2004	192	20:00	PP2PS4	LG1-wetland	J05	445D5A2B31	Brown Lemming	F	A	37	NA	UNK	Yes	
2004	192	20:00	PP2PS4	LG1-wetland	A02	453536796F_1	Brown Lemming	M	A	43	NA	UNK	Yes	
2004	192	20:00	PP2PS4	LG1-wetland	E08	445D435665	Brown Lemming	M	A	40	NA	UNK	Yes	
2004	192	20:00	PP2PS4	LG1-wetland	C06	445C4D3550	Brown Lemming	M	A	36	NA	UNK	Yes	
2004	192	20:00	PP2PS4	LG1-wetland	G03	445D7C6372_1	Brown Lemming	M	A	36	NA	UNK	Yes	
2004	193	08:00	PP2PS5	LG1-wetland	B02	446217172E_1	Brown Lemming	F	A	46	NA	UNK	Yes	
2004	193	08:00	PP2PS5	LG1-wetland	C06	445D435665	Brown Lemming	M	A	37	NA	UNK	Yes	
2004	193	08:00	PP2PS5	LG1-wetland	D05	445D7C6372_1	Brown Lemming	M	A	38	NA	UNK	Yes	
2004	193	08:00	PP2PS5	LG1-wetland	B08	45383C6242	Brown Lemming	M	A	48	NA	UNK	Yes	
2004	193	08:00	PP2PS5	LG1-wetland	A09	445A1C4D20	Brown Lemming	M	A	36	NA	UNK	Yes	
2004	193	08:00	PP2PS5	LG1-wetland	B03	453536796F_1	Brown Lemming	M	A	43	NA	UNK	Yes	
2004	193	08:00	PP2PS5	LG1-wetland	J07	445E0B0550	Brown Lemming	M	A	30	NA	UNK	Yes	
2004	193	08:00	PP2PS5	LG1-wetland	H09	454C53107C	Brown Lemming	M	A	40	NA	UNK	Yes	
