Year	Nest_ID	Sector	Nest_found	Lay_date	Lay_code	Hatch_date	TCL	Hatch_succ	Notes	Datum	UTM_zone	UTM_E	UTM_N
2004	LAB01	CAMP 1	Unknown	NA	0	NA	2	Unk		NAD 27	17X	533317	8118282
2004	LAB02	CAMP 1	Unknown	NA	0	NA	2	Unk		NAD 27	17X	531210	8116968
2004	LAB03	CAMP 1	Unknown	175	3	199	1	Yes		NAD 27	17X	534598	8115352
2004	LAB04	CAMP 1	Unknown	NA	0	NA	2	Unk		NAD 27	17X	531821	8115509
2004	LAB05	CAMP 1	Unknown	NA	0	NA	2	Unk		NAD 27	17X	531133	8115779
2004	LAB06	CAMP 1	Unknown	NA	0	NA	2	Yes		NAD 27	17X	533136	8116427
2004	LAB07	CAMP 1	Unknown	NA	0	NA	1	Unk		NAD 27	17X	534457	8117874
2004	LAB08	CAMP 1	Unknown	NA	0	NA	2	Unk		NAD 27	17X	531220	8117199
2004	LAB09	CAMP 1	Unknown	NA	0	NA	2	Unk		NAD 27	17X	536985	8120725
2004	LAB10	CAMP 1	Unknown	NA	0	NA	2	Unk		NAD 27	17X	532616	8117187
2004	LAB11	CAMP 1	Unknown	NA	0	NA	NA	Unk	nest could not be found but parents very aggressive	NAD 27	17X	535710	8118875
2004	LAB12	CAMP 1	Unknown	NA	0	NA	NA	Unk		NAD 27	17X	540879	8120948
2004	LAB13	CAMP 1	Unknown	NA	0	NA	2	Unk		NAD 27	17X	537876	8123813
2004	LAB14	CAMP 1	Unknown	NA	0	NA	2	Unk		NAD 27	17X	533101	8122517
2004	LAB15	CAMP 1	Unknown	NA	0	NA	2	Unk		NAD 27	17X	535971	8122482
2004	LAB16	CAMP 1	Unknown	168	3	192	2	Yes		NAD 27	17X	534063	8118629
2004	LAB17	CAMP 1	Unknown	175	3	199	2	Yes		NAD 27	17X	535065	8114967
2004	LAB2	CAMP 2	Unknown	NA	0	NA	NA	Unk		NAD 27	17X	536116	8088574
2005	LAB001	CAMP 1	Unknown	NA	0	NA	2	No		NAD 27	17X	536071	8119289
2005	LAB003	CAMP 1	Unknown	NA	0	NA	NA	No		NAD 27	17X	531812	8117085
2005	LAB004	CAMP 1	Unknown	NA	0	NA	NA	No		NAD 27	17X	532327	8117239
2005	LAB005	CAMP 1	Unknown	NA	0	NA	2	No		NAD 27	17X	532717	8117911
2005	LAB006	CAMP 1	Unknown	NA	0	NA	NA	No		NAD 27	17X	534112	8118596
2005	LAB007	CAMP 1	Unknown	NA	0	NA	2	No		NAD 27	17X	534239	8120961
2005	LAB008	CAMP 1	Unknown	NA	0	NA	NA	No		NAD 27	17X	533658	8117686
2005	LAB009	CAMP 1	Unknown	NA	0	NA	NA	No		NAD 27	17X	534848	8118011
2005	LAB010	CAMP 1	Unknown	NA	0	NA	2	No		NAD 27	17X	536942	8123119
2005	LAB1	CAMP 2	Unknown	NA	0	NA	NA	Unk		NAD 27	17X	536540	8088129
2005	LAB108	CAMP 2	Unknown	NA	0	NA	NA	Unk		NAD 27	17X	539433	8086351
2005	LAB2	CAMP 2	Unknown	NA	0	NA	2	Unk		NAD 27	17X	535960	8088281
2005	LAB3	CAMP 2	Unknown	173	1	NA	2	No		NAD 27	17X	538221	8089534
2005	LAB4	CAMP 2	Unknown	NA	0	NA	2	No		NAD 27	17X	NA	NA
2005	LAB5	CAMP 2	Unknown	NA	0	NA	2	No		NAD 27	17X	536021	8091732
2005	LAB6	CAMP 2	Unknown	NA	0	NA	2	Unk		NAD 27	17X	539108	8085573
2005	LABQ2	CAMP 2	Unknown	168	3	192	2	Yes		NAD 27	17X	538124	8086323
2005	LABQ3	CAMP 2	Unknown	NA	0	NA	2	Unk		NAD 27	17X	537832	8085475
2006	LAL01	CAMP 1	Unknown	NA	0	NA	NA	No		NAD 27	17X	533605	8118767
2006	LAL02	CAMP 1	Unknown	NA	0	NA	NA	No		NAD 27	17X	533737	8117834
2006	LAL03	CAMP 1	Unknown	NA	0	NA	NA	No		NAD 27	17X	535858	8118267
2006	LLQ01	CAMP 2	Unknown	NA	0	NA	NA	No		NAD 27	17X	536568	8088869
2006	LLQ02	CAMP 2	Unknown	NA	0	NA	NA	Unk		NAD 27	17X	535777	8087809
2006	LLQ03	CAMP 2	Unknown	NA	0	NA	NA	Unk		NAD 27	17X	535996	8088725
2007	LTJA001	CAMP 1	Opportunistically	167	1	NA	2	No		NAD 27	17X	532424	8117153
2007	LTJA002	CAMP 1	Opportunistically	NA	0	NA	1	No		NAD 27	17X	533791	8117894
2007	LTJA003	CAMP 1	Opportunistically	166	3	190	2	Yes		NAD 27	17X	534255	8118293
2007	LTJA004	CAMP 1	Opportunistically	169	1	NA	2	No		NAD 27	17X	531119	8117274
2007	LTJA005	CAMP 3	Opportunistically	NA	0	NA	NA	Unk		NAD 27	17X	532227	8098778
2007	LTJA006	CAMP 1	Opportunistically	167	3	191	2	Yes		NAD 27	17X	532861	8118143
2007	LTJA007	CAMP 1	Opportunistically	NA	0	NA	NA	No		NAD 27	17X	536351	8120249
2007	LTJA008	CAMP 1	Opportunistically	NA	0	NA	2	No		NAD 27	17X	533955	8116745
2007	LTJA009	CAMP 1	Opportunistically	NA	0	NA	1	No		NAD 27	17X	534491	8117958
2007	LTJA010	CAMP 1	Opportunistically	NA	0	NA	2	No		NAD 27	17X	533297	8116354
2007	LTJA011	CAMP 1	Systematic search	NA	0	NA	2	Unk		NAD 27	17X	532738	8120856
2007	LTJA012	CAMP 1	Opportunistically	166	3	190	2	Yes		NAD 27	17X	535370	8118285
2007	LTJA013	CAMP 1	Opportunistically	166	3	190	2	Yes		NAD 27	17X	536194	8118573
2007	LTJA014	CAMP 1	Opportunistically	NA	0	NA	NA	No		NAD 27	17X	534408	8117930
2007	LTJA015	CAMP 1	Unknown	NA	0	NA	NA	No		NAD 27	17X	535004	8118038
2007	LTJA016	CAMP 1	Unknown	NA	0	NA	2	Unk		NAD 27	17X	531027	8114454
2007	LTJA100	CAMP 2	Unknown	NA	0	NA	1	Yes		NAD 27	17X	537910	8084890
2007	LTJA101	CAMP 2	Unknown	NA	0	NA	2	Unk		NAD 27	17X	537482	8087278
2007	LTJA102	CAMP 2	Opportunistically	NA	0	NA	NA	Unk		NAD 27	17X	536253	8091815
2007	LTJA103	CAMP 2	Opportunistically	NA	0	NA	2	Unk		NAD 27	17X	535835	8089309
2007	LTJA104	CAMP 2	Opportunistically	NA	0	NA	2	Unk		NAD 27	17X	539837	8088790
2007	LTJA105	CAMP 2	Opportunistically	NA	0	NA	2	Unk		NAD 27	17X	540596	8088588
2007	LTJA106	CAMP 2	Opportunistically	NA	0	NA	2	Unk		NAD 27	17X	539046	8086292
2007	LTJA200	CAMP 2	Opportunistically	NA	0	NA	2	Unk		NAD 27	17X	532242	8099013
2007	LTJA201	CAMP 2	Opportunistically	NA	0	NA	2	Unk		NAD 27	17X	532511	8099735
2007	LTJA202	CAMP 2	Opportunistically	NA	0	NA	NA	Unk		NAD 27	17X	531446	8101013
2007	LTJA300	DUFOUR	Unknown	NA	0	NA	2	Unk		NAD 27	17X	548253	8078198
2007	LTJA301	DUFOUR	Unknown	NA	0	NA	2	Unk		NAD 27	17X	547838	8077402
2007	LTJA302	DUFOUR	Unknown	NA	0	NA	2	Unk		NAD 27	17X	547349	8078244
2008	LTJA001	CAMP 1	Systematic search	NA	0	NA	NA	No		NAD 27	17X	534197	8118709
2008	LTJA002	CAMP 1	Systematic search	NA	0	NA	2	Yes		NAD 27	17X	533071	8117576
2008	LTJA003	CAMP 1	Systematic search	NA	0	NA	2	No		NAD 27	17X	535488	8119726
2008	LTJA004	CAMP 1	Systematic search	NA	0	NA	2	Yes		NAD 27	17X	537138	8120623
