Year,Owl_C1,Owl_all_Bylot,Owl_without_C1,C1_area_searched,all_area_searched,Lemming_wet,Lemming_mesic,notes
1993,12.00,,,55.00,,7.21,,
1994,0.00,,,55.00,,1.26,,
1995,0.00,,,55.00,,0.07,0.07,
1996,7.00,,,55.00,,4.60,3.68,
1997,0.00,,,55.00,,3.25,0.07,
1998,0.00,,,55.00,,3.45,1.49,
1999,0.00,,,55.00,,0.23,0.07,
2000,12.00,13.00,1.00,55.00,410.00,14.86,3.84,owl total density not reliable
2001,0.00,0.00,0.00,110.00,410.00,1.43,0.49,owl total density not reliable
2002,0.00,0.00,0.00,110.00,410.00,0.16,0.07,owl total density not reliable
2003,0.00,0.00,0.00,110.00,410.00,0.07,0.07,owl total density not reliable
2004,13.00,22.00,9.00,110.00,410.00,3.88,2.63,
2005,0.00,0.00,0.00,110.00,410.00,0.40,0.24,
2006,0.00,0.00,0.00,110.00,410.00,0.35,0.67,
2007,1.00,17.00,16.00,110.00,410.00,0.39,0.14,
2008,9.00,20.00,11.00,110.00,410.00,4.25,1.38,
2009,0.00,0.00,0.00,110.00,410.00,0.24,0.04,
2010,10.00,34.00,24.00,110.00,410.00,2.73,4.95,
2011,0.00,0.00,0.00,110.00,410.00,4.62,5.46,
2012,0.00,0.00,0.00,110.00,410.00,0.14,0.04,
2013,0.00,0.00,0.00,110.00,410.00,0.00,0.04,
2014,20.00,98.00,78.00,110.00,410.00,7.27,5.68,
2015,0.00,0.00,0.00,110.00,410.00,3.90,3.40,
2016,1.00,4.00,3.00,110.00,410.00,1.40,3.66,
2017,0.00,0.00,0.00,110.00,410.00,0.16,0.21,
2018,0.00,0.00,0.00,110.00,410.00,0.03,0.00,
2019,7.00,10.00,3.00,110.00,410.00,1.84,0.90,
